#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
39,Keegan Khan,A,12,26,32,58,82,32%,52,63,16,5,17,0,0,0,0%,0,0,0%
2,Matt Campbell,M,12,32,8,40,126,25%,62,49,10,3,25,0,0,0,0%,0,0,0%
19,Eric Overbay,M,12,14,15,29,42,33%,23,55,7,1,7,0,0,0,0%,0,0,0%
66,Patrick Daly,A,11,21,7,28,60,35%,42,70,16,4,13,0,0,0,0%,0,0,0%
14,Corey McManus,A,11,22,1,23,61,36%,41,67,4,3,7,0,0,0,0%,0,0,0%
1,Colin Crowley,M,11,14,8,22,53,26%,29,55,6,0,8,0,0,0,0%,0,0,0%
3,Tucker Goodelle,A,10,9,4,13,26,35%,15,58,2,,5,,,,0%,,,0%
35,Gavin Burke,M,11,3,2,5,7,43%,5,71,10,1,1,,,,0%,,,0%
4,Austin Fraser,A,12,2,2,4,7,29%,4,57,0,0,7,0,0,0,0%,0,0,0%
22,Justin Coppola,M,12,1,2,3,2,50%,2,100,56,0,5,0,0,0,0%,130,248,52%
29,Mason Reale,A,10,3,0,3,13,23%,9,69,2,2,3,0,0,0,0%,0,0,0%
33,Jimmy McAfee,M,9,1,2,3,1,100%,1,100,12,2,3,,,,0%,,,0%
5,Stevie Peters,M,9,1,1,2,11,9%,3,27,0,1,3,0,0,0,0%,0,0,0%
8,Jimmy Gabrielsen,M,8,2,0,2,3,67%,2,67,0,0,2,0,0,0,0%,0,0,0%
24,Sam Parkinson,M,12,2,0,2,14,14%,6,43,2,0,5,0,0,0,0%,0,0,0%
13,Gavin Derham,A,6,1,,1,2,50%,2,100,1,,,,,,0%,,,0%
21,Stevie Jones,M,11,1,0,1,3,33%,2,67,10,4,4,0,0,0,0%,0,0,0%
41,Stelios Kroudis,A,5,1,,1,3,33%,1,33,1,,1,,,,0%,,,0%
43,Owen Prybylski,D,12,1,0,1,1,100%,1,100,28,17,6,0,0,0,0%,0,0,0%
44,Michael Clark,D,5,1,,1,1,100%,1,100,1,,1,,,,0%,,,0%
57,Chet Comizio,M,12,0,1,1,1,0%,1,100,19,8,4,0,0,0,0%,0,0,0%
81,Colin Hunt,D,9,,1,1,,0%,,0,2,2,1,,,,0%,,,0%
11,Brendan Haggerty,G,7,0,0,0,0,0%,0,0,4,1,0,17,20,37,46%,0,0,0%
12,Zachary Kryza,D,12,0,0,0,0,0%,0,0,16,13,0,0,0,0,0%,0,0,0%
17,Dan Fisher,M,9,0,0,0,0,0%,0,0,7,0,0,0,0,0,0%,20,48,42%
25,Brody LaPorte,D,12,0,0,0,2,0%,1,50,18,7,0,0,0,0,0%,0,0,0%
30,Will Vitton,G,12,0,0,0,0,0%,0,0,13,1,5,107,106,213,50%,0,0,0%
40,Matt Webster,D,11,0,0,0,0,0%,0,0,8,5,2,0,0,0,0%,0,0,0%
46,Patrick Kennedy,D,11,0,0,0,1,0%,0,0,25,20,4,0,0,0,0%,0,0,0%
0,Justin Clark,G,1,,,,,0%,,0,,,,,,,0%,,,0%
6,Lucas Kopecky,M,5,,,,,0%,,0,2,,,,,,0%,5,19,26%
15,Jonathan Taylor,D,1,,,,,0%,,0,,1,,,,,0%,,,0%
16,Michael Tracanna,D,6,,,,,0%,,0,1,,1,,,,0%,,,0%
18,Tom Miller,M,1,,,,,0%,,0,,,,,,,0%,,,0%
20,Reid Colwell,D,5,,,,,0%,,0,1,1,,,,,0%,,,0%
23,Will Wheeler,M,3,,,,,0%,,0,1,0,1,,,,0%,,,0%
27,Jack Cerza,M,3,,,,1,0%,,0,,,2,,,,0%,,,0%
31,Keith Carra,D,1,,,,,0%,,0,,,,,,,0%,,,0%
42,Joe Goguen,A,2,,,,,0%,,0,,,,,,,0%,,,0%
55,Jack Neill,M,3,,,,1,0%,1,100,,,,,,,0%,,,0%
77,Thad Spiker,D,2,,,,,0%,,0,,,,,,,0%,,,0%
88,Alex Spiker,D,1,,,,,0%,,0,,,,,,,0%,,,0%
