#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
1,Connor Shellenberger,A,15,25,35,60,66,38%,44,67,27,5,17,0,0,0,0%,0,0,0%
5,Matt Moore,A,14,27,32,59,116,23%,57,49,31,3,27,0,0,0,0%,0,0,0%
24,Payton Cormier,A,15,39,8,47,99,39%,65,66,18,2,19,0,0,0,0%,0,0,0%
41,Charlie Bertrand,A,15,23,7,30,60,38%,39,65,18,2,24,0,0,0,0%,0,0,0%
3,Ian Laviano,A,15,20,6,26,59,34%,38,64,17,5,6,0,0,0,0%,0,0,0%
33,Peter Garno,M,15,20,3,23,50,40%,31,62,4,1,10,0,0,0,0%,0,0,0%
6,Dox Aitken,M,15,15,4,19,49,31%,28,57,22,1,15,0,0,0,0%,0,0,0%
10,Xander Dickson,A,15,9,10,19,20,45%,15,75,11,5,10,0,0,0,0%,0,0,0%
4,Jeff Conner,M,13,10,5,15,24,42%,15,63,18,0,3,0,0,0,0%,0,0,0%
23,Petey LaSalla,M,15,8,6,14,25,32%,15,60,112,1,9,0,0,0,0%,226,361,63%
19,Regan Quinn,M,11,5,3,8,13,38%,9,69,5,3,2,0,0,0,0%,0,0,0%
28,Jared Conners,D,15,2,5,7,12,17%,7,58,74,20,11,0,0,0,0%,0,0,0%
32,Grayson Sallade,M,15,4,1,5,8,50%,5,63,41,9,5,0,0,0,0%,0,0,0%
13,Griffin Harris,A,13,3,1,4,16,19%,9,56,4,0,5,0,0,0,0%,0,0,0%
14,Will Cory,A,4,2,2,4,2,100%,2,100,0,0,1,0,0,0,0%,0,0,0%
18,Patrick McIntosh,A,3,3,0,3,3,100%,3,100,1,0,2,0,0,0,0%,0,0,0%
25,Scott Bower,D,15,2,0,2,7,29%,5,71,10,2,2,0,0,0,0%,0,0,0%
31,Paul Rodriguez,A,5,1,1,2,5,20%,2,40,0,0,2,0,0,0,0%,0,0,0%
45,Ben Wayer,D,9,1,1,2,2,50%,1,50,14,3,2,0,0,0,0%,0,0,0%
2,Russ Maher,A,4,0,1,1,1,0%,0,0,1,0,1,0,0,0,0%,0,0,0%
8,Danny Parker,M,1,,1,1,1,0%,,0,2,2,,,,,0%,,,0%
12,Jack Simmons,M,7,0,1,1,3,0%,1,33,2,0,3,0,0,0,0%,0,0,0%
27,Jack Walshe,M,1,1,,1,1,100%,,0,,,,,,,0%,,,0%
39,Cole Kastner,D,15,0,1,1,0,0%,0,0,11,6,1,0,0,0,0%,0,0,0%
50,Connell Kumar,M,4,1,0,1,3,33%,1,33,2,0,0,0,0,0,0%,0,0,0%
7,Chris Merle,M,15,0,0,0,0,0%,0,0,13,2,3,0,0,0,0%,0,0,0%
11,Cade Saustad,D,15,0,0,0,2,0%,1,50,34,16,6,0,0,0,0%,0,0,0%
15,Mike Prestipino,D,4,0,0,0,0,0%,0,0,1,2,0,0,0,0,0%,0,0,0%
16,Kyle Kology,D,15,0,0,0,1,0%,0,0,28,20,6,0,0,0,0%,0,0,0%
20,Drew Brennfleck,M,3,0,0,0,1,0%,1,100,2,0,0,0,0,0,0%,0,0,0%
21,Gavin Tygh,M,10,0,0,0,1,0%,0,0,13,0,0,0,0,0,0%,25,53,47%
22,Quentin Matsui,D,15,0,0,0,0,0%,0,0,10,6,5,0,0,0,0%,0,0,0%
26,Jackson Appelt,M,5,0,0,0,1,0%,1,100,2,0,2,0,0,0,0%,0,0,0%
29,Hall Peters,D,4,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
30,John Izlar,M,3,0,0,0,0,0%,0,0,1,1,0,0,0,0,0%,0,0,0%
34,John Fox,M,15,0,0,0,1,0%,1,100,11,2,4,0,0,0,0%,0,0,0%
35,Kian Olexo,D,2,0,0,0,0,0%,0,0,1,0,1,0,0,0,0%,0,0,0%
36,Mikie Harmeyer,A,4,0,0,0,1,0%,0,0,0,1,1,0,0,0,0%,0,0,0%
38,Alex Rode,G,13,0,0,0,0,0%,0,0,49,7,5,177,149,326,54%,0,0,0%
40,Gable Braun,M,7,0,0,0,2,0%,1,50,8,0,2,0,0,0,0%,18,31,58%
43,Mitchell Whalen,D,7,0,0,0,0,0%,0,0,2,2,1,0,0,0,0%,0,0,0%
44,Jake Giulieri,D,14,0,0,0,0,0%,0,0,3,1,3,0,0,0,0%,0,0,0%
47,David Roselle,G,3,0,0,0,0,0%,0,0,0,0,0,1,2,3,33%,0,0,0%
48,Bobby Gavin,G,7,0,0,0,0,0%,0,0,7,1,0,27,29,56,48%,0,0,0%
49,Jack Peele,M,15,0,0,0,2,0%,1,50,12,1,5,0,0,0,0%,0,0,0%
46,Ryan Pride,M,5,,,,,0%,,0,2,,1,,,,0%,,,0%
