#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
13,Stephen Dwyer,M,8,14,9,23,51,27%,26,51,5,,18,,,,0%,,,0%
19,Philip Buque,A,10,18,1,19,38,47%,30,79,6,,7,,,,0%,,,0%
2,Justin White,M,8,7,4,11,26,27%,11,42,8,,10,,,,0%,,,0%
9,Tim Schmidt,M,7,7,3,10,30,23%,12,40,7,1,9,,,,0%,,,0%
43,Nic Ancona,A,7,3,7,10,19,16%,11,58,5,,8,,,,0%,,,0%
7,Tyler Lawton,M,7,,7,7,11,0%,4,36,5,,13,,,,0%,,,0%
40,Benjamin Stewart,M,9,5,2,7,24,21%,11,46,6,2,15,,,,0%,,,0%
6,Matt Cechini,M,7,2,3,5,11,18%,9,82,3,,6,,,,0%,,,0%
14,Jack Brady,A,8,4,1,5,24,17%,16,67,2,2,8,,,,0%,,,0%
44,Aidan Clark,M,8,1,4,5,16,6%,4,25,3,1,8,,,,0%,,,0%
20,Nick Martini,A,7,4,,4,14,29%,8,57,2,1,8,,,,0%,,,0%
30,John Killcommons,A,6,4,,4,12,33%,7,58,1,,5,,,,0%,,,0%
4,Mikey Vanaman,A,8,,2,2,4,0%,2,50,5,,4,,,,0%,,,0%
33,Matt Morris,D,8,2,,2,3,67%,3,100,15,1,6,,,,0%,,,0%
16,Nick Azzopardi,D,7,1,,1,2,50%,1,50,5,4,,,,,0%,,,0%
17,Dan Baker,M,8,1,,1,1,100%,1,100,10,4,2,,,,0%,,,0%
24,Noah Patterson,M,8,,1,1,4,0%,1,25,2,,1,,,,0%,,,0%
32,Lance Rainer,M,7,1,,1,2,50%,1,50,12,1,4,,,,0%,,,0%
1,Matt McAnaney,M,7,,,,,0%,,0,3,,1,,,,0%,,,0%
3,Eli Fisher,M,8,,,,,0%,,0,10,,2,,,,0%,,,0%
5,Giovanni Armocida,D,8,,,,,0%,,0,9,4,6,,,,0%,,,0%
11,Harrison Brown,D,2,,,,,0%,,0,1,,1,,,,0%,,,0%
12,Ben Pagesy,G,1,,,,,0%,,0,,,,3,5,8,38%,,,0%
18,Elek Vrklan,M,2,,,,,0%,,0,,,,,,,0%,,,0%
21,Danny Brady,G,10,,,,,0%,,0,26,,12,158,142,323,49%,,,0%
22,Daren Mayer,D,10,,,,1,0%,,0,18,4,6,,,,0%,0,0,0%
26,Ryan Whelpley,FO,8,,,,1,0%,1,100,13,,1,,,,0%,18,47,38%
28,Bobby Blewett,FO,9,,,,,0%,,0,8,,4,,,,0%,34,91,37%
31,Brendan McHale,A,1,,,,,0%,,0,,,,,,,0%,,,0%
35,John Wright,G,5,,,,,0%,,0,1,,2,5,6,11,45%,,,0%
41,Tommy Scarpello,D,10,,,,2,0%,1,50,19,5,6,,,,0%,,,0%
42,Brendan Higgins,D,10,,,,6,0%,2,33,27,10,7,,,,0%,3,12,25%
45,Matt Rueter,FO,8,,,,2,0%,1,50,15,,3,,,,0%,45,109,41%
48,Connor Sweeney,D,8,,,,,0%,,0,11,6,2,,,,0%,,,0%
