#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
4,Chris Gray,A,7,28,17,45,67,42%,40,60,7,4,5,0,0,0,0%,0,0,0%
8,Nicky Solomon,A,7,14,9,23,34,41%,26,76,7,1,7,0,0,0,0%,0,0,0%
77,Tanner Cook,M,7,14,8,22,36,39%,23,64,3,0,10,0,0,0,0%,0,0,0%
3,William Perry,M,7,14,6,20,37,38%,21,57,6,1,3,0,0,0,0%,0,0,0%
9,Jacob Kelly,A,7,11,6,17,27,41%,17,63,8,2,6,0,0,0,0%,0,0,0%
21,Justin Anderson,M,7,10,5,15,29,34%,21,72,7,3,4,0,0,0,0%,0,0,0%
19,Brian Cameron,A,7,13,1,14,28,46%,22,79,12,0,3,0,0,0,0%,0,0,0%
1,Alex Trippi,A,7,6,5,11,22,27%,11,50,1,1,1,0,0,0,0%,0,0,0%
15,Andrew Tyeryar,FO,7,4,2,6,6,67%,5,83,30,1,2,0,0,0,0%,71,120,59%
17,Ryan O'Connell,M,7,5,1,6,18,28%,8,44,2,0,2,0,0,0,0%,0,3,0%
6,Cole Herbert,M,7,0,4,4,6,0%,3,50,3,0,4,0,0,0,0%,0,0,0%
20,Matt Wright,D,7,2,1,3,5,40%,3,60,24,4,1,0,0,0,0%,0,0,0%
0,Lance Tillman,A,7,1,1,2,9,11%,7,78,2,1,2,0,0,0,0%,0,0,0%
2,Henry Schertzinger,M,4,2,0,2,3,67%,3,100,0,0,1,0,0,0,0%,0,0,0%
7,Zac Tucci,FO,7,2,0,2,9,22%,4,44,26,0,3,0,0,0,0%,61,93,66%
31,Connor Maher,D,7,0,2,2,3,0%,2,67,28,6,3,0,0,0,0%,0,0,0%
32,Connor McCarthy,M,6,2,0,2,10,20%,5,50,2,0,2,0,0,0,0%,0,0,0%
34,Will Nicklaus,M,5,2,0,2,6,33%,4,67,3,0,2,0,0,0,0%,0,0,0%
16,Sean Morris,D,7,0,1,1,0,0%,0,0,6,1,1,0,0,0,0%,0,0,0%
23,Parker Alexander,D,5,1,0,1,2,50%,1,50,4,0,1,0,0,0,0%,0,0,0%
24,Will Bowen,D,7,0,1,1,0,0%,0,0,17,19,5,0,0,0,0%,0,0,0%
88,Alex Breschi,D,7,0,1,1,3,0%,0,0,7,2,1,0,0,0,0%,0,0,0%
50,Collin Loughead,D,6,,1,1,2,0%,2,100,5,1,2,,,,0%,,,0%
12,Ara Atayan,M,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
18,Quintin O'Connell,M,3,0,0,0,0,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
22,Evan Egan,D,5,0,0,0,0,0%,0,0,2,3,0,0,0,0,0%,0,0,0%
25,Caton Johnson,G,1,0,0,0,0,0%,0,0,0,0,0,2,7,9,22%,0,0,0%
28,Cam Macri,D,7,0,0,0,0,0%,0,0,7,6,0,0,0,0,0%,0,0,0%
30,Bailey Laidman,A,2,0,0,0,2,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
33,Kyle Kolwich,D,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
36,Graham Schwartz,FO,3,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,4,11,36%
39,Collin Krieg,G,7,0,0,0,0,0%,0,0,14,0,5,70,66,136,50%,0,0,0%
49,Trevor Deubner,A,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
55,Cole Brown,D,3,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
99,Tyler Seminetta,D,3,0,0,0,0,0%,0,0,2,0,1,0,0,0,0%,0,0,0%
11,Luke Millican,G,1,,,,,0%,,0,,,,1,2,3,0%,,,0%
14,Matt McLaughlin,M,2,,,,,0%,,0,,,,,,,0%,,,0%
26,Parker Byrd,D,2,,,,,0%,,0,,,,,,,0%,,,0%
35,Ryan O'Leary,D,1,,,,,0%,,0,,,,,,,0%,1,1,100%
40,Will Pettit,G,2,,,,,0%,,0,,,,5,2,7,0%,,,0%
45,Zach Young,D,1,,,,,0%,,0,2,,,,,,0%,,,0%
46,Alex Helms,M,2,,,,,0%,,0,,,,,,,0%,,,0%
66,Will Robbins,D,2,,,,,0%,,0,,,,,,,0%,,,0%
70,Van Parker,A,1,,,,,0%,,0,,,,,,,0%,,,0%
80,Jack Grubbs,M,1,,,,,0%,,0,,,,,,,0%,,,0%
90,Blake Gable,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
95,Maxwell Cooney,D,1,,,,,0%,,0,,,,,,,0%,,,0%
98,Colin Reilly,M,2,,,,1,0%,1,100,,1,,,,,0%,,,0%
